Key,en,ru,tr,Comments
k_language_name,English,Русский,Türkçe,
k_Sell_Items,Sell items,Продать предметы,Ürün satmak,
k_Sell,Sell,Продать,Satmak,
k_Upgrades,Upgrades,Улучшения,Yükseltmeler,
k_Drop,Drop:,Эффективность,Verimlilik:,
k_Capacity,Capacity:,Вместимость,Kapasite:,
k_Lvl,Lvl,Ур.,Seviye,
k_MAX,MAX,МАКС,MAX,
k_Settings,Settings,Настройки,Ayarlar,
k_Sounds,Sounds,Звук,Sesler,
k_Music,Music,Музыка,Müzik,
k_on,on,вкл,üzerinde,
k_off,off,выкл,kapalı,
k_Hint_movement_desktop,"Use arrows or WASD 
to move","Используй стрелки или WASD 
для движения","Hareket etmek için okları veya WASD 
tuşlarını kullanın",
k_Hint_movement_mobile,"Swipe horizontal and vertical 
to move","Двигай пальцем 
вверх-вниз и вправо-влево 
для движения","Hareket ettirmek için parmağınızı yatay 
ve dikey olarak sürükleyin",
k_UI_resource_pointer,Your resources,Твои ресурсы,Kaynaklarınız,
k_waitingForAd,Waiting for Ad...,Ожидаем рекламу...,Reklam için bekliyorum...,
